,politician,text,title
0,Mark Schauer,"Issue Position: Protecting our EnvironmentOur natural resources are a critical part of who we are in Michigan, and how we safeguard them for future generations speak volumes about us as a society. I believe addressing climate change and retaining manufacturing jobs are not mutually exclusive. We can find common sense policies and invest in cutting-edge technology that allows us to accomplish our goals. We must continue to invest in alternative energy technologies that will reduce our dependence on foreign oil, reduce carbon emissions, and help to reserve our land, air, and water.Another important way we must protect our water, especially here in Michigan, is to continue our opposition to drilling in the Great Lakes and rein in large water withdrawals. I've opposed drilling for oil in the Great Lakes and introduced bills to regulate water bottlers that siphon off our groundwater and would continue to champion these causes at the federal level.",Issue Position: Protecting our Environment
0,Mark Schauer,"Mark and his wife Christine own a small retail shop in Battle Creek. As a small business owner, Mark understands the pressures of making payroll in this tough economy.That's why he's fought to make credit more accessible to small businesses by supporting bills that would increase the amount credit unions are able to lend to small businesses, and creating a new direct lending program through the Small Business Administration by taxing excessive bonuses at bailed out Wall Street firms.Additionally, as one of the only members of Congress with a full-time Economic Development Director on his staff, Mark has worked closely with local businesses to help them compete for federal contracts and bring jobs to Michigan.",Issue Position: Small Business
0,Mark Schauer,"Issue Position: Health Care for AllWashington needs to admit we have a health care crisis. I would always put the need to ensure and expand health care insurance coverage for children ahead of party politics or ideology. In fact, I helped lead an effort here in Michigan to push for a strong federal children's health insurance program, sponsoring an initiative in the State Senate and traveling throughout the state to set the record straight about this important measure. In Congress, I would work in a bipartisan way with my colleagues to preserve this critical initiative. We must diligently pursue policies that allow greater access to coverage and drive down the skyrocketing cost of care.The looming health care crisis in this country must be addressed - and soon. It is devastating families and businesses across this country.",Issue Position: Health Care for All
0,Mark Schauer,"Issue Position: Improving EducationWashington has failed to make our public schools a priority. No Child Left Behind has not had the positive effect on education that was intended, and college costs are skyrocketing.We must do more to get kids of f to a good start with early childhood education. Prior to being elected to office, I was responsible for helping to administer Head Start programs, and I saw firsthand the positive effects they had on children's development. I will focus on supporting and expanding initiatives like these.Finally, we have to make sure we're ensuring access to higher education and keeping it affordable. Our budget crisis here in the state has caused the cost of college tuition to rise dramatically. I think the federal government can play a role in helping with this problem by increasing financial aid making the dream of higher education achievable for everyone.",Issue Position: Improving Education
0,Mark Schauer,"Issue Position: Preserving Social SecurityI strongly oppose any and all efforts to privatize Social Security. Although the Bush Administration and its allies in Congress have tried to dismantle Social Security with risky schemes, I will never do anything to weaken the commitment Americahas made to its retirees and senior citizens. Social Security is vital to the success of American families, and for decades has provided dignity to our retirees and a safety net to families struck by tragedy.In Congress, I will work to ensure the long-term stability and certainty of this crucial program, rather than gambling people's futures on risky, expensive privatization schemes",Issue Position: Preserving Social Security
0,Mark Schauer,"Mark believes education is one of the best long-term economic investments our nation can make. That's why he was proud to support the American Recovery and Reinvestment Act, which helped save nearly 17,000 education jobs in Michigan. Mark also voted to support a bill last year that would provide every school district in our area with resources to modernize, renovate and repair facilities to provide students with a healthier, safer, and more energy-efficient learning environment.For families struggling to pay for college, Mark added language to the new student aid law that will cap student loan payments to 10% of a person's income - making higher education more affordable for Michigan families.Turning our economy around won't happen overnight, but by providing our kids with a quality education, Mark is fighting to make sure our future workforce has the necessary skills to compete for 21st Century jobs.",Issue Position: Education
0,Mark Schauer,"Issue Position: Honoring Our VeteransIn Congress, I will continue to support our troops and fight for the local military as I did when I worked with former Congressman Schwarz to save the Battle Creek Air National Guard Base. But I will also be willing to think independently, ask tough questions of any Administration, and demand change when necessary.I'd also support our soldiers and their families who have sacrificed so much by allowing longer breaks and more time at home for our military personnel. In that spirit, I recently co-sponsored a comprehensive package of bills to support Michigan veterans. The legislation would help protect veteran's homes from foreclosure, assist our veterans with economic and job opportunities, and help ensure that they can send their children to college.After all they've done for us, it's the least we can do for them.",Issue Position: Honoring Our Veterans
0,Mark Schauer,"To get our economy back, Mark is committed to investing in our infrastructure to put people back to work and help our businesses compete.As the Vice Chair of the Highways and Transit Subcommittee, Mark has fought to end Michigan's status as a donor state and make sure we get our fair share from Washington to fix our crumbling roads and bridges.Mark has also been leading the charge to save tens of thousands of road construction jobs in Michigan by preventing the cancellation of critical road projects due to a shortfall in state funding.",Issue Position: Transportation
0,Mark Schauer,"Issue Position: The War in IraqAmerica needs a strong national defense, but, I don't believe that requires blindly following the Bush-Cheney Administration and its failed policy and flawed execution. More than four years after the President declared ""Mission Accomplished"", nearly 4,000 American lives have been lost and more than 28,000 have been wounded. Still the President and his allies have no plan and no exit strategy--but continue to spend $400 million on this war each day.One of my first official acts as a state Senator in 2003 was to vote against a resolution in support of President Bush's strategy in Iraq. Sadly, my fears and doubts about Bush's so-called 'strategy' were well-founded - and now our country continues to pay the price. Congress must work to find a new course that ensures our security here at home and honors the lives of the brave men and women who defend our freedom.",Issue Position: The War in Iraq
0,Mark Schauer,"Mark is committed to keeping Michigan families safe. That's why he has consistently voted against funding to transfer terrorists from Guantanamo Bay to the United States until the administration submits a plan to Congress that will ensure the safety of the American public.Following the attempted terrorist bombing on NW Flight 253 last Christmas, Mark called for swift hearings as a member of the Aviation subcommittee and pushed the administration for answers. Through Mark's efforts, the House attached an amendment to the Intelligence bill requiring the Director of National Intelligence to formally investigate the attempted attack and report back to Congress with steps to prevent similar intelligence breakdowns from re-occurring.Prior to serving in Congress, Mark was an early critic of President George W. Bush's invasion of Iraq. Since taking office, he has consistently voted to ensure our troops serving in Iraq and Afghanistan have the resources they need to complete their missions and return home safely.",Issue Position: National Security
0,Mark Schauer,"Today U.S. Rep. Mark Schauer (D-MI) issued the following statement in support of a bipartisan plan to extend unemployment benefits and tax cuts for Michigan families.""With our economy still struggling, now is not the time to raise taxes or pull the rug out from workers who've lost a job through no fault of their own. Extending unemployment benefits and tax cuts for all wage earners will provide working families and small businesses with certainty, and ultimately help put people back to work. While I have concerns about proposed changes to the estate tax in this plan that I would like to see addressed, this proposal is an important step towards a bipartisan compromise that will help get our economy back on track.""","Schauer comments on plan to extend unemployment benefits, tax cuts"
0,Mark Schauer,"Today Congressman Mark Schauer (D-MI) issued the following statement on trade negotiations between the U.S. and South Korea:""I commend President Obama's decision to pull out of the South Korea Free Trade Agreement and his commitment to defending domestic auto companies, workers, and suppliers. We need fair trade policies that strengthen manufacturing, protect jobs, and facilitate long-term economic growth here at home. We've already lost too many good-paying jobs to unfair trade with countries like South Korea that refuse to open their markets to American companies, particularly our auto companies, and it's time to get tough on these practices and bring our jobs back.""",Schauer Statement on South Korea Trade Negotiations
0,Mark Schauer,"The Honorable Barack ObamaPresident of the United StatesThe White House1600 Pennsylvania AvenueWashington, DC 20500Dear President Obama:We write today to express our strong support for Social Security and our view that it should be strengthened. We oppose any cuts to Social Security benefits, including raising the retirement age. We also oppose any effort to privatize Social Security, in whole or in part.You have charged the National Commission on Fiscal Responsibility and Reform with proposing recommendations that improve the long-term fiscal outlook and address the growth of entitlement spending. It is our view that Social Security--which is prohibited by law from adding to the national budget deficit--does not belong as part of those recommendations.By 2023, Social Security will have built up a $4.3 trillion surplus, and, without any action, can pay full benefits until 2037 and at least 75 percent of all benefits thereafter. Because Social Security is funded separately from the general treasury and has no borrowing authority, it has not contributed to the federal deficit. Despite these facts, some Commission members have repeatedly alleged the need to cut Social Security for budgetary reasons.For 75 years, Social Security has been a promise to the American people that if they work hard and pay their fair share, they will have a financially secure retirement. In communities across this country, Social Security benefits are often the only source of income helping families maintain a decent standard of living. Social Security's benefits are modest, averaging less than $13,000 a year, but they are vital to the vast majority of Americans who receive them.Cutting Social Security benefits beyond the already scheduled increase in the retirement age from 65 to 67 would create even more needless hardship for millions of vulnerable Americans. This is especially true in the face of an economic downturn that has wiped out trillions of dollars that Americans were relying on for their retirement security and the increased dismantlement of the private and public pension systems.If any of the Commission's recommendations cut or diminish Social Security in any way, we will stand firmly against them. We urge you to join us in protecting and strengthening Social Security rather than letting it fall victim to a misguided attempt to reduce budget deficits on the backs of working families.Sincerely,Raul M. GrijalvaMember of CongressJohn ConyersMember of CongressDan MaffeiMember of CongressLynn WoolseyMember of CongressChellie Pingree Member of CongressGary AckermanMember of CongressMichael ArcuriMember of CongressJoe Baca Member of CongressJohn BoccieriMember of CongressRobert BradyMember of CongressCorrine BrownMember of CongressLois CappsMember of CongressMichael CapuanoMember of CongressAndre CarsonMember of CongressKathy CastorMember of CongressJudy ChuMember of CongressYvette ClarkeMember of CongressWilliam Lacy ClayMember of CongressSteve CohenMember of CongressJerry CostelloMember of CongressJoe CourtneyMember of CongressMark CritzMember of CongressJoseph CrowleyMember of CongressElijah CummingsMember of CongressDanny Davis Member of CongressPeter DeFazioMember of CongressWilliam DelahuntMember of CongressRosa DeLauroMember of CongressTed DeutchMember of CongressJohn DingellMember of CongressMike DoyleMember of CongressDonna EdwardsMember of CongressKeith Ellison Member of CongressEliot Engel Member of CongressAnna EshooMember of CongressEni FaleomavaegaMember of CongressSam FarrMember of CongressChaka FattahMember of CongressBob FilnerMember of CongressBarney Frank Member of CongressMarcia FudgeMember of CongressJohn GaramendiMember of CongressAlan GraysonMember of CongressAl Green Member of CongressGene GreenMember of CongressLuis V. GutierrezMember of CongressJohn HallMember of CongressDeborah HalvorsonMember of CongressPhil HareMember of CongressAlcee Hastings Member of CongressMartin HeinrichMember of CongressBrian HigginsMember of CongressMaurice HincheyMember of CongressRuben HinojosaMember of CongressMazie HironoMember of CongressRush HoltMember of CongressMichael HondaMember of CongressSteve IsraelMember of CongressJesse Jackson Jr.Member of CongressSheila Jackson LeeMember of CongressHank JohnsonMember of CongressSteve Kagen Member of CongressMarcy KapturMember of CongressDale KildeeMember of CongressCarolyn KilpatrickMember of CongressMary Jo KilroyMember of CongressLarry Kissell Member of CongressRon KleinMember of CongressDennis KucinichMember of CongressBarbara LeeMember of CongressJohn LewisMember of CongressDavid LoebsackMember of CongressZoe LofgrenMember of CongressNita LoweyMember of CongressBen Ray LujanMember of CongressStephen LynchMember of CongressBetty McCollum Member of CongressJames McGovernMember of CongressCarolyn MaloneyMember of CongressBetsy MarkeyMember of CongressDonald PayneMember of CongressNick RahallMember of CongressCharles Rangel Member of CongressSilvestre ReyesMember of CongressLaura RichardsonMember of CongressCiro RodriguezMember of CongressMike RossMember of CongressSteven RothmanMember of CongressLucille Roybal-AllardMember of CongressC.A. Dutch RuppersbergerMember of CongressBobby RushMember of CongressTim RyanMember of CongressGregorio SablanMember of CongressJohn SalazarMember of CongressLinda SanchezMember of CongressMark SchauerMember of CongressJose SerranoMember of CongressCarol Shea-PorterMember of CongressAlbio SiresMember of CongressLouise McIntosh SlaughterMember of CongressEdward MarkeyMember of CongressDoris Matsui Member of CongressCarolyn McCarthyMember of CongressJim McDermottMember of CongressKendrick MeekMember of CongressGregory Meeks Member of CongressMichael MichaudMember of CongressBrad MillerMember of CongressGeorge MillerMember of CongressPatrick MurphyMember of CongressJerrold NadlerMember of CongressGrace NapolitanoMember of CongressRichard Neal Member of CongressEleanor Holmes NortonMember of CongressJames OberstarMember of CongressJohn OlverMember of CongressSolomon OrtizMember of CongressBill OwensMember of CongressFrank Pallone Member of CongressEd Pastor Member of CongressZack SpaceMember of CongressFortney StarkMember of CongressBart StupakMember of CongressBetty Sutton Member of CongressHarry TeagueMember of CongressBennie Thompson Member of CongressJohn TierneyMember of CongressPaul TonkoMember of CongressEdolphus Towns Member of CongressNiki Tsongas Member of CongressNydia VelaquezMember of CongressMaxine WaltersMember of CongressDiane WatsonMember of CongressAnthony WeinerMember of CongressDavid WuMember of CongressBill Pascrell Jr.Member of Congress","Letter To Barack Obama, President of The United States - Social Security"
0,Mark Schauer,"Today Congressman Mark Schauer (D-MI) announced that the U.S. House will move ahead with legislation to help seniors offset rising costs of living when Congress reconvenes in November. The Social Security Administration (SSA) reported today that there will be no automatic Cost of Living Adjustment (COLA) for 2011, and the Seniors Protection Act of 2010 (H.R. 5987) will provide a $250 payment to about 54 million Social Security recipients.""Seniors in Michigan are already struggling to survive on their benefits in a difficult economy, and two years without a cost of living adjustment puts unnecessary strain on their already limited budgets,"" said Schauer. ""I'm proud to support this bill, which will help offset rising costs of living and make sure seniors are able to afford things like food and medicine.""For the first time ever, 2011 will be the second consecutive year that Social Security retirees, veterans, and people with disabilities will see no increase in their monthly Social Security, SSI, VA Pension and Compensation, and Railroad Retirement benefits. This situation is determined by the SSA and is a result of economic conditions.The COLA is automatically calculated using data on inflation published by the Bureau of Labor Statistics (BLS). October 15 is the day BLS releases the final economic factor that the SSA uses to calculate the annual COLA. In 2009, Social Security recipients saw a 5.8% increase in their benefits, the largest since 1982, as a result of rising costs; but in 2010, they saw no COLA at all.",Schauer Announces Vote to Help Seniors with Increasing Costs of Living
0,Mark Schauer,"U.S. Senator Russ Feingold is urging members of the joint U.S.-Canadian commission that oversees the Great Lakes to support banning Canadian oil and gas drilling operations in the Great Lakes. In a letter to the International Joint Commission (IJC), Feingold and 15 other lawmakers urged the IJC to consider the ban at the IJC's Semi-Annual Meeting in Ottawa on October 19-22, 2010. Currently, Canada has hundreds of active wells in Lake Erie and allows drilling for oil and natural gas under the Great Lakes from onshore wells, and drilling for natural gas in the Great Lakes from offshore wells. While new U.S.-based oil and gas drilling in the Great Lakes is banned, seven grand-fathered oil and gas operations continue in Michigan, tapping into Lakes Michigan and Huron from their shores.""While the U.S. has banned new oil and gas drilling in the Great Lakes, Canada has yet to follow suit,"" Feingold said. ""Banning U.S.-based drilling is only half the battle. With the Great Lakes providing drinking water to millions and acting as an economic engine for the Midwest, I hope Canada seriously considers our request to end its current oil and gas drilling.""Feingold has a long record of protecting the Great Lakes from numerous threats like oil drilling, invasive species and pollution, to name a few. Last week, Feingold sent letters to the Canadian Nuclear Safety Commission and Environment Canada calling into question a proposal to ship radioactive nuclear waste from Canada to Sweden via the Great Lakes. Feingold has also been a leading Senate opponent of drilling in the Great Lakes, cosponsoring the Great Lakes Water Protection Act and the successful 2001 amendment that put in place the first federal ban on oil or gas drilling in any of the Great Lakes. Feingold also has a long record of fighting to end the cozy relationship between the federal government and big oil companies.October 6, 2010Lana PollackChair of the U.S. SectionIJC2000 L Street, NWSuite #615Washington, DC 20440Joseph ComuzziChair of the Canadian SectionIJC234 Laurier Avenue West 22nd FloorOttawa, ON K1P 6K6Dear Chairwoman Lana Pollack and Chairman Joseph Comuzzi,As you prepare for your IJC Fall Semi-Annual Meeting in Ottawa on October 19-22, we respectfully request that as you debate and discuss the Great Lakes Water Quality Agreement, you strongly consider adding to the agenda the issue of a Canadian ban on oil and gas drilling in the Great Lakes.Over the past several months, we have led efforts, joined by our colleagues in the U.S. House of Representatives and the Senate, to express our bipartisan concerns over policies governing oil and gas extraction on the Canadian side of the Great Lakes. These letters are enclosed for your review. We are heartened by a subsequent letter sent to the State Department and the Minister of Foreign Affairs by IJC Chairman Comuzzi and Chairwoman Pollack, which cited the House letter and encouraged that ""essential failsafe systems are developed to further protect the Great Lakes from any future spills that could otherwise be caused by the transport of or drilling for oil and gas and other hazardous polluting substances in these environmentally critical areas.""The Great Lakes make up 20% of our fresh water and are home to a fishing and boating industry worth $7 billion annually. The Lakes are a priceless treasure for the millions of people who live in the region. We cannot allow a disaster like the one that happened in the Gulf of Mexico to happen in any of our Great Lakes.Thank you for your hard work on behalf of the United States, Canada and the Great Lakes. Please contact Lindsey Matese in the office of Congressman Quigley, or Chris Adamo in the office of Senator Debbie Stabenow, to follow up on this very important issue (Lindsey.Matese@mail.house.gov or Ph. 202-225-4061, Chris_Adamo@Stabenow.senate.gov or Ph. 202-224-8807).Sincerely,Senator Russ FeingoldSenator Sherrod BrownSenator Dick DurbinSenator Carl LevinSenator Debbie StabenowSenator George VoinovichRepresentative Melissa BeanRepresentative John ConyersRepresentative Dale KildeeRepresentative Sandy LevinRepresentative Betty McCollumRepresentative Mark QuigleyRepresentative Tim RyanRepresentative Mark SchauerRepresentative Joe SestakRepresentative Bart Stupak","Letter to Lana Pollack, Chair of the U.S. Section International Joint Commission and Joseph Comuzzi, Chair of the Canadian Section"
0,Mark Schauer,"Today Congressman Mark Schauer (D-MI) issued the following statement in response to news that the International Food Protection Training Institute (IFPTI) in Battle Creek had exceeded its training goal. Schauer's support for the program enabled IFPTI to train 1,138 food safety workers, surpassing its goal of 1000 for 2010.""This investment in food safety has proven successful for IFPTI, local businesses and consumers, and the City of Battle Creek,"" said Schauer. ""The safety of America's food supply is a critical public health issue, which we saw recently as hundreds of millions of eggs were recalled for salmonella contamination. I will continue to fight for necessary resources to train food safety regulators while creating jobs and boosting our local economy.""",Schauer Comments on IFPTI Exceeding 2010 Training Goal
0,Mark Schauer,"Yesterday Congressman Mark Schauer (D-MI) voted to level the playing field for American manufacturers by holding China accountable for the manipulation of its currency. The House passed the Currency Reform for Fair Trade Act (H.R. 2378), which will give the U.S. needed tools to enforce the rules of trade, help American businesses to compete in international markets, increase manufacturing, and create more jobs here at home.""For years we have watched our country's trade deficit with China grow due to unfair practices like currency manipulation, this bill will force China to play by the rules,"" said Schauer. ""It's time we stopped shipping our jobs overseas, and I'm committed to helping American businesses and manufacturers create jobs here at home for our workers, not workers in China.""China has a long history of suppressing the value of its currency to make exports cheaper than they would be if it allowed its currency to be set by the market. Nobel Prize winning economist Paul Krugman estimates that China's currency policy reduces U.S. GDP by 1.4 percentage points annually. C. Fred Bergsten, director of the Peterson Institute for International Economics, says the revaluation of China's currency would create 500,000 manufacturing jobs here in the United States.According to a recent report from the Economic Policy Institute, 2.4 million American jobs have been lost or displaced as a result of the growing trade deficit with China since it joined the World Trade Organization (WTO) in 2001. During that time, the State of Michigan lost 67,800 jobs, including 4,700 in the 7th district alone, due to unfair trade with China.In May, Schauer introduced the bipartisan Reciprocal Government Procurement with China Creates American Jobs Act (H.R. 5312). The bill would level the playing field for American companies by making sure taxpayer-funded projects create jobs for U.S. workers instead of workers in China. On Tuesday, Schauer, Congressman Sandy Levin (D-MI), and a group of House colleagues sent a letter to President Obama asking him to put a stop to unfair trade practices with China in the green technology sector.","Schauer Votes to Hold China Accountable for Manipulation of Currency
House passes bipartisan bill to level playing field for American companies, create jobs here instead of China"
0,Mark Schauer,"Last night, the U.S. House passed Congressman Mark Schauer's (D-MI) Corporate Liability and Emergency Accident Notification (CLEAN) Act, H.R. 6008. The bipartisan bill would shorten the time a company has to report a hazardous liquid spill to the National Response Center (NRC) and increase fines for pipeline safety violations. H.R. 6008 would also require the U.S. Department of Transportation to maintain a public, searchable internet database of all reportable incidents involving gas or hazardous liquid pipelines. The bill passed with strong bipartisan support.""On July 26, Enbridge Energy Partners spilled one million gallons of heavy crude oil into the Kalamazoo River watershed, and it will be years before my community fully recovers,"" said Schauer. ""Public health impacts could have been reduced and environmental responses substantially improved had the spill been reported more quickly. We need to make sure there is no delay in future responses to these types of disasters.""The bill was introduced in direct response to the Enbridge spill in Marshall, Michigan, which is in Schauer's district. Current law states that companies must report a pipeline incident ""immediately,"" which is defined in regulation as the ""earliest practicable moment."" Schauer's CLEAN Act would retain the ""immediate"" requirement, but create an outside cap of one hour after the discovery of a leak.Companies that exceed the one-hour requirement or violate other pipeline safety requirements would face a penalty of $250,000, up from the current $100,000, and penalties would increase to $2.5 million from $1 million for companies having multiple related violations.The bill would also increase transparency by creating a public, searchable internet database of all reportable incidents involving gas or hazardous liquid pipelines, holding companies accountable for the damage they cause.Schauer will continue working to improve pipeline safety during the reauthorization process for the U.S. Department of Transportation's Pipeline and Hazardous Materials Safety Administration (PHMSA). He is also a co-sponsor of Congresswoman Jackie Speier's (D-CA) Pipeline Safety and Community Empowerment Act, which would help educate communities about the pipelines that run through them, increase oversight, and improve public safety.","U.S. House Passes Schauer Pipeline Safety Bill
CLEAN Act would improve pipeline disaster reporting times, increase penalties, make violations public information"
